URI,中文名称,WHO-RA代码,备注,引用次数,是否匹配
i631620573952208896,玉枕透天柱,,,2,否
i631620578595303424,前神聪悬厘连线的第二四分位点,,,2,否
i631620578628857856,前神聪悬厘连线的第三四分位点,,,2,否
i631620813904146432,腰夹脊,EX-B2,jiaji,2,是
i631621289856987136,气海俞穴,BL24,,2,是
i631620597897490432,下腕,,,2,否
i631620833210527744,减肥点,,,2,否
i631621315580653568,舌下系带,,,2,否
i631620604172169216,四花中,,,2,否
i631620604193140736,反后绝穴,,,2,否
i631620611352817664,舌面,,,2,否
i631621334517936128,腰椎间盘突出节段及上下节段两侧夹脊,EX-B2,jiaji,2,是
i631620628289417216,五心穴,,,2,否
i631621096218554368,腰夹脊八穴,EX-B2,jiaji,2,是
i631621354344411136,卵巢穴,,,2,否
i631620637659492352,金津穴,EX-HN12,,2,是
i631620867071143936,大白,,,2,否
i631620867616403456,门金,,,2,否
i631620233580244992,眉上穴,,,2,否
i631620437683466240,肩井双,GB21,,2,是
i631620438048370688,运动区上/健侧,,,2,否
i631620438073536512,运动区中/健侧,,,2,否
i631620438157422592,双侧下风湿下点,,,2,否
i631619858672381952,对侧足运感区,,,2,否
i631620046719807488,成腓间,,,2,否
i631620452241895424,阴阳陵泉,,,2,否
i631619872475836416,“脐四边”穴,,,2,否
i631620047520919552,髌外上,,,2,否
i631620047562862592,髌外下,,,2,否
i631620047617388544,髌内,,,2,否
i631620048678547456,翦明,,,2,否
i631620258230169600,妇科,,,2,否
i631619879639707648,合谷双 侧,,,2,否
i631619879740370944,喙肱肌,,,2,否
i631619879769731072,阳性筋结点,,,2,否
i631619883884343296,三阴交穴双侧,,,2,否
i631620062700105728,肾病穴,,,2,否
i631620274294353920,足三里水平旁开～cm,,,2,否
i631620484185714688,巨骨穴,LI16,,2,是
i631620282817179648,肱三头肌长头运动点,,,2,否
i631620282842345472,肱三头肌内侧头运动点,,,2,否
i631620282863316992,肱三头肌外侧头运动点,,,2,否
i631620282888482816,伸指总肌运动点,,,2,否
i631620282909454336,桡侧伸腕长肌运动点,,,2,否
i631620282934620160,桡侧伸腕短肌运动点,,,2,否
i631620282955591680,伸拇长肌运动点,,,2,否
i631620282993340416,腓骨长肌运动点,,,2,否
i631620283018506240,腓骨短肌运动点,,,2,否
i631620491391528960,三角肌上缘中点,,,2,否
i631620491412500480,三角肌中点,,,2,否
i631620493694201856,牵正穴,QIAN-ZHENG,,2,是
i631620493836808192,凤池穴,,,2,否
i631619899789144064,重仙,,,2,否
i631619747074535424,阴陵泉穴 双侧,,,2,否
i631619751356919808,华佗夹背穴L~S,,,2,否
i631620311409750016,脾腧,,,2,否
i631619756369113088,天黄副穴,,,2,否
i631619756390084608,地黄,,,2,否
i631619756411056128,人黄,,,2,否
i631619756427833344,关节疼痛的等高对应点,,,2,否
i631619759175102464,上腕,,,2,否
i631620115812577280,三阴交 双,SP6,,2,是
i631619770608775168,阿呛穴,,,2,否
i631619772349411328,耳穴眼,Ear-Acupoint,auricular,2,是
i631619777483239424,丘疹周围,,,2,否
i631619949147713536,夹脊穴,EX-B2,,2,是
i631620341382246400,睥俞,,,2,否
i631620341818454016,中膂,,,2,否
i631620345828208640,L-华佗夹脊,EX-B2,jiaji,2,是
i631619782222802944,颈椎阳性反应平面,,,2,否
i631619784257040384,上肢 - 内侧肌群,,,2,否
i631619784298983424,下肢 - 膝以上外侧肌群,,,2,否
i631619784324149248,下肢 - 膝以上内侧肌群,,,2,否
i631619784345120768,下肢 - 股以下内侧肌群,,,2,否
i631619784361897984,下肢 - 股以下外侧肌群,,,2,否
i631619784584196096,上肢-外侧肌群,,,2,否
i631619955141373952,灵骨穴,,,2,否
i631619957804756992,手三阳经筋线上筋结点,,,2,否
i631620148389736448,臑会次,,,2,否
i631620148423290880,天宗次,,,2,否
i631620148469428224,环跳次,,,2,否
i631620148511371264,足三里次,,,2,否
i631619797888528384,附分,BL41,,2,是
i631619971062951936,顶颞后斜线上/,,,2,否
i631620162339991552,百劳,,,2,否
i631620374433361920,患侧颊粘膜咬合线下约．cm的水平线上各连三个点,,,2,否
i631620374466916352,相当于第二磨牙处,,,2,否
i631620374500470784,各点间相距～．cm,,,2,否
i631620374538219520,每点上下再各取一点,,,2,否
i631619802699395072,T-L夹脊,EX-B2,jiaji,2,是
i631619804372922368,头皮运动区/处,,,2,否
i631620176256692224,颈椎夹脊穴,EX-B2,jiaji,2,是
i631620179918319616,外金津玉液,,,2,否
i631620381353963520,康泉,,,2,否
i631620391609036800,失眠穴,,,2,否
i631620185911980032,内外犊鼻,,,2,否
i631620399582408704,阴廉次,,,2,否
i631620400215748608,阳陵泉次,,,2,否
i631619827974270976,颈部阿是,Ashi,ashi,2,是
i631620198725578752,殷外,,,2,否
i631620198750744576,屈膝,,,2,否
i631620020006285312,顶会穴,,,2,否
i631620020039839744,顶前穴,,,2,否
i631620020085977088,顶左穴,,,2,否
i631620020127920128,希日穴,,,2,否
i631620020153085952,赫依穴,,,2,否
i631620424244916224,中九里,,,2,否
i631619845544210432,对侧运动区,,,2,否
i631619848320839680,中俞,,,2,否
i631619855576985600,合谷透劳宫,,,2,否
i631620033360949248,陵下次,,,2,否
i631620033654550528,百合,,,2,否
i631620229226557440,颞顶前斜线,,,2,否
i631621863096709120,腕三针,,,2,否
i631622212708724736,，,,,2,否
i631622216244523008,腕顺一穴,,,2,否
i631622216290660352,腕顺二穴,,,2,否
i631622843162947584,生殖区,,,2,否
i631621883552329728,顶额后斜线,,,2,否
i631622872770539520,伏突,,,2,否
i631621998610477056,天纵穴,,,2,否
i631622282678104064,对侧运动区中/处,,,2,否
i631622282711658496,对侧运动区上/处,,,2,否
i631622290718584832,提肛,,,2,否
i631622008135741440,腕骨穴,SI4,,2,是
i631622638753542144,八脉交会穴,,,2,否
i631621590139793408,驷马,,,2,否
i631622045293080576,屈髋结点,,,2,否
i631622045322440704,屈膝结点,,,2,否
i631622045351800832,足外翻结点,,,2,否
i631621646150529024,语言区,,,2,否
i631621647421403136,大枢,,,2,否
i631621666090250240,智三针,,,2,否
i631621701414678528,腰夹脊双侧,EX-B2,jiaji,2,是
i631621701561479168,承山患侧,BL57,,2,是
i631621701611810816,血瘀证者加膈俞双侧,,,2,否
i631621710747004928,双侧滑肉门,ST24,,2,是
i631621710797336576,双侧外陵,ST26,,2,是
i631621752341917696,枕下三穴,,,2,否
i631622432880324608,下极俞,EX-B5,,2,是
i631622773927571456,智三针穴,,,2,否
i631622773965320192,颞顶前斜线穴,,,2,否
i631622773998874624,顶中线穴,GS-MS5,,2,是
i631622149777387520,腰,,,2,否
i631622158170189824,肌筋膜触发点,,,2,否
i631621831370993664,小节穴,,,2,否
i631622187245105152,曲差透五 处,,,2,否
i631622502212169728,太阳膀胧经穴,,,2,否
i631619122924351488,太阳透颊车,,,1,否
i631619133020041216,谷穴,,,1,否
i631619133137481728,患侧夹脊,EX-B2,,1,是
i631619135154941952,扶边,,,1,否
i631619138174840832,上颊车,,,1,否
i631619138501996544,第二掌骨节肢全息,,,1,否
i631619139160502272,玉枢,,,1,否
i631619141723222016,顶旁 2线,,,1,否
i631619141840662528,L～夹脊,EX-B2,jiaji,1,是
i631619142113292288,疱疹起始部位,,,1,否
i631619142121680896,最后出现疱疹部位,,,1,否
i631619142134263808,疱疹最多处,,,1,否
i631619143086370816,头穴额中线,,,1,否
i631619144239804416,颊车头地仓,,,1,否
i631619128616022016,任脉经穴,,,1,否
i631619129463271424,副廉泉,,,1,否
i631619130264383488,陵后,,,1,否
i631619132659331072,脐周八针,,,1,否
i631619148564131840,病变中心,,,1,否
i631619151185571840,枕下区,,,1,否
i631619151395287040,胃底与胃体在胃大弯的交界处即胃的起搏区,,,1,否
i631619161977516032,冈上肌止点平肱骨大结节处,,,1,否
i631619161990098944,肩胛下肌止点平肱骨小结节处,,,1,否
i631619161998487552,腋前纹头旁开寸肱二头肌短头处,,,1,否
i631619162011070464,腋后纹头旁开寸肱三头肌长头处,,,1,否
i631619162019459072,手背结点,,,1,否
i631619162027847680,手掌结点,,,1,否
i631619162040430592,手侧结点,,,1,否
i631619162803793920,颈四夹穴,,,1,否
i631619170550673408,肩后局部,,,1,否
i631619172278726656,上直肌穴,,,1,否
i631619172291309568,下直肌穴,,,1,否
i631619172299698176,内直肌穴,,,1,否
i631619172316475392,上斜肌穴,,,1,否
i631619172329058304,下斜肌穴,,,1,否
i631619172417138688,顶颏后斜线,,,1,否
i631619166436061184,T~L夹脊,EX-B2,jiaji,1,是
i631619167044235264,疱疹边缘mm处,,,1,否
i631619152188010496,天泽,,,1,否
i631619156852076544,炎症点,,,1,否
i631619157133094912,颈部的头夹肌,,,1,否
i631619157154066432,斜方肌上部颈角处,,,1,否
i631619158601101312,手厥阴心包经,,,1,否
i631619158659821568,趾间与足跟连线的外侧和大拇趾与足跟连线的外侧,,,1,否
i631619161813938176,梁 丘,,,1,否
i631619191987761152,新奇,,,1,否
i631619194139439104,第二掌骨侧下腹穴,,,1,否
i631619195880075264,瘙痒部位,,,1,否
i631619196182065152,十 宣,,,1,否
i631619197721374720,华佗夹脊T,EX-B2,jiaji,1,是
i631619199386513408,下哑门,,,1,否
i631619199399096320,强音,,,1,否
i631619199550091264,纠外翻,,,1,否
i631619199562674176,上溪,,,1,否
i631619199868858368,内翻,,,1,否
i631619199885635584,大溪,,,1,否
i631619200028241920,听穴,,,1,否
i631619200040824832,足益聪,,,1,否
i631619200309260288,目明,,,1,否
i631619200317648896,足光明,,,1,否
i631619200330231808,头光明,,,1,否
i631619200590278656,抬足,,,1,否
i631619174161969152,患侧运动区,GS-MS1,,1,是
i631619176284286976,前进,,,1,否
i631619176296869888,内收,,,1,否
i631619176317841408,风市下,,,1,否
i631619176330424320,上阳关,,,1,否
i631619176338812928,阳陵下,,,1,否
i631619176351395840,足垂,,,1,否
i631619177550966784,四髎穴,,,1,否
i631619179396460544,四白透下睛明,,,1,否
i631619182802235392,舌下针穴点,,,1,否
i631619182814818304,咽后壁穴点,,,1,否
i631619206617493504,肱二头肌长头肌腱炎沿肱骨结节间沟,,,1,否
i631619206630076416,髌骨下/外侧缘,,,1,否
i631619225261174784,前廉泉,,,1,否
i631619225273757696,头部CT所示病灶在同侧头皮最近距离的垂直投射区的周边,,,1,否
i631619226817261568,第掌骨小头后尺侧赤白肉际凹陷处,,,1,否
i631619234190848000,肾上腺,,,1,否
i631619230726352896,髌骨周围四穴:即髌韧带两侧及股四头肌腱两侧凹陷处,,,1,否
i631619231481327616,迎香气,,,1,否
i631619232278245376,咽三针,,,1,否
i631619233049997312,八斜,,,1,否
i631619210761465856,内关对照点,,,1,否
i631619210774048768,水沟对照点,,,1,否
i631619210786631680,三阴交对照点,,,1,否
i631619210799214592,极泉对照点,,,1,否
i631619210811797504,尺泽对照点,,,1,否
i631619210824380416,委中对照点,,,1,否
i631619211541606400,戒烟穴,,,1,否
i631619212808286208,外水道,,,1,否
i631619212816674816,外归来,,,1,否
i631619214116909056,萎缩肌群,,,1,否
i631619218890027008,光明穴,GB37,,1,是
i631619221318529024,肩胛骨内上角第一阿是,Ashi,ashi,1,是
i631619223830917120,肿胀点,,,1,否
i631619251806924800,患侧头维,ST8,,1,是
i631619253824385024,耳穴胰,Ear-Acupoint,auricular,1,是
i631619253866328064,耳穴腹,Ear-Acupoint,auricular,1,是
i631619254382227456,鱼际穴,LU10,,1,是
i631619255099453440,耳穴肺穴,Ear-Acupoint,auricular,1,是
i631619255221088256,上极泉,,,1,否
i631619255288197120,病灶侧头部运动区上肢,,,1,否
i631619255992840192,伸腕伸指结点,,,1,否
i631619256009617408,拇指展结点,,,1,否
i631619256030588928,指外展结点,,,1,否
i631619256097697792,肩后伸旋外结点,,,1,否
i631619259344089088,行间双侧,,,1,否
i631619264805072896,双侧感觉区,GS-SS1,,1,是
i631619264817655808,肩骼,,,1,否
i631619265488744448,失笑,,,1,否
i631619265794928640,丘疹,,,1,否
i631619265807511552,黑头,,,1,否
i631619265820094464,脓疱,,,1,否
i631619265828483072,囊肿,,,1,否
i631619265841065984,结节及痤疮的后遗色素斑处,,,1,否
i631619266424074240,阳经穴,,,1,否
i631619266692509696,侧头痛配太阳,,,1,否
i631619266705092608,头顶痛配四神聪,,,1,否
i631619266717675520,眉棱骨痛配攒竹,,,1,否
i631619266734452736,后头痛配天柱,,,1,否
i631619268097601536,第二掌骨远侧段/与近侧段/交界处,,,1,否
i631619269452361728,神门耳穴,Ear-Acupoint,auricular,1,是
i631619248216600576,鼠溪,,,1,否
i631619250271809536,百会配涌泉,,,1,否
i631619250284392448,百劳配次髎,,,1,否
i631619250296975360,心俞配肾俞,,,1,否
i631619250309558272,膈俞配膻中,,,1,否
i631619250322141184,脾俞配中脘,,,1,否
i631619250330529792,肾俞配关元,,,1,否
i631619250343112704,合谷配三阴交,,,1,否
i631619250351501312,内关配太冲,,,1,否
i631619250368278528,足三里配三阴交,,,1,否
i631619250380861440,阳陵泉配太冲,,,1,否
i631619250393444352,神门配太溪,,,1,否
i631619279589994496,上巨虚双侧,,,1,否
i631619280126865408,三商,,,1,否
i631619280244305920,维道双,GB28,,1,是
i631619302511865856,供血,,,1,否
i631619305452072960,筋穴,,,1,否
i631619312905351168,肩陵泉,,,1,否
i631619313471582208,第二掌骨全息生物穴的头穴,,,1,否
i631619316357263360,失笑穴,,,1,否
i631619317036740608,腰部阿是,Ashi,ashi,1,是
i631619317485531136,取水沟,,,1,否
i631619308346142720,督脉上病灶上,,,1,否
i631619308362919936,下椎间隙,,,1,否
i631619310342631424,两侧腹股沟部和大腿根部后段的股内收肌群和闭孔外肌耻骨上,,,1,否
i631619311668031488,太溪透昆仑,,,1,否
i631619281926221824,湿热瘀滞型加阴陵泉,,,1,否
i631619281938804736,气滞血瘀型加血海,,,1,否
i631619281947193344,伴经前乳房胀痛或便秘腹胀甚者加太冲,,,1,否
i631619281959776256,腰骶痛,,,1,否
i631619281968164864,肾虚明显者加肾俞,,,1,否
i631619283771715584,头部/运动区,,,1,否
i631619283788492800,头部/感觉区,,,1,否
i631619283910127616,晴明,,,1,否
i631619283918516224,四 白,,,1,否
i631619288704217088,颈夹脊-,EX-B2,jiaji,1,是
i631619296501428224,脾胃穴,,,1,否
i631619298506305536,中印堂,,,1,否
i631619340327710720,疤痕边缘皮肤,,,1,否
i631619341372092416,肩髃透极泉,,,1,否
i631619343544741888,相应夹脊,EX-B2,jiaji,1,是
i631619343993532416,咽安,,,1,否
i631619345260212224,大墩,,,1,否
i631619349941055488,疱疹部位,,,1,否
i631619351291621376,风池透天柱攒竹透鱼腰,,,1,否
i631619361840295936,下腹,,,1,否
i631619362523967488,对侧大脑运动区即顶颞前斜线的上/和中/为主,,,1,否
i631619364629508096,颈部穴,,,1,否
i631619367364194304,在此环形线上以等分的形式取点,,,1,否
i631619367376777216,作为治疗点,,,1,否
i631619360951103488,耳后降压沟,,,1,否
i631619361316007936,内外劳宫,,,1,否
i631619318487969792,少阳经俞穴,,,1,否
i631619318508941312,头维患侧,ST8,,1,是
i631619318525718528,悬颅患侧,GB5,,1,是
i631619318538301440,风池患侧,GB20,,1,是
i631619318576050176,太冲 双侧,,,1,否
i631619318592827392,丰隆 双侧,,,1,否
i631619318748016640,面肌痉挛兴奋点健侧,,,1,否
i631619318777376768,天地穴中脘,,,1,否
i631619322082488320,L-脊神经后支骨纤维管出口处,,,1,否
i631619322258649088,偏瘫对侧顶颞前斜线,,,1,否
i631619322782937088,环乳,,,1,否
i631619326608142336,疱疹周围部位,,,1,否
i631619327702855680,原穴冲阳,,,1,否
i631619327715438592,络穴丰隆,,,1,否
i631619327740604416,郄穴梁丘,,,1,否
i631619330928275456,尺泻,,,1,否
i631619370895798272,眼肌穴,,,1,否
i631619371956957184,肩上,,,1,否
i631619371969540096,肘外,,,1,否
i631619371977928704,肘窝,,,1,否
i631619391003291648,感觉区的上/和中/,,,1,否
i631619405259730944,顶颊后斜线上/线段,,,1,否
i631619405503000576,腰部P点外侧,,,1,否
i631619405519777792,腰部P点下方,,,1,否
i631619405532360704,臀部外侧P点外侧,,,1,否
i631619405549137920,大腿外侧中央段,,,1,否
i631619405561720832,小腿上P点下方,,,1,否
i631619407453351936,腕关节取阳池,,,1,否
i631619407667261440,L-S夹脊,EX-B2,jiaji,1,是
i631619372011483136,速效,,,1,否
i631619372019871744,十指尖穴,,,1,否
i631619372145700864,髋五穴,,,1,否
i631619372170866688,大腿内穴,,,1,否
i631619372196032512,腓肠肌正中穴,,,1,否
i631619372212809728,腓肠肌下穴,,,1,否
i631619372225392640,胫穴,,,1,否
i631619372237975552,跟上穴,,,1,否
i631619372254752768,足十趾尖穴,,,1,否
i631619375333371904,丝竹空患侧,TE23,,1,是
i631619375350149120,地仓透颊车患侧,,,1,否
i631619378491682816,左侧语言三区,,,1,否
i631619378504265728,左侧语言二区,,,1,否
i631619378516848640,第胸椎至第胸椎夹脊,EX-B2,jiaji,1,是
i631619378529431552,第胸椎至第腰椎夹脊,EX-B2,jiaji,1,是
i631619380463005696,内生殖器,,,1,否
i631619380844687360,言语运动区,,,1,否
i631619380861464576,肢体运动区,,,1,否
i631619382123950080,头针对侧运动区中/,,,1,否
i631619385672331264,肱三头肌运动点,,,1,否
i631619385684914176,指总伸肌运动点,,,1,否
i631619385701691392,拇长展肌运动点,,,1,否
i631619387249389568,鹰窗,,,1,否
i631619387664625664,夹脊C～,EX-B2,jiaji,1,是
i631619440814845952,上廉泉、通里 、丰隆 、金津 放血、玉液 放血、头针顶颞后斜线$颈百劳、人迎、水突、廉泉$加内地仓、 夹承浆 、禾髎$次髎、会阳、肾俞$头针枕下旁线 、天柱穴,,,1,否
i631619441938919424,痤疮,,,1,否
i631619444677799936,双侧C～C夹脊,EX-B2,jiaji,1,是
i631619444690382848,双侧腕骨,SI4,,1,是
i631619444707160064,双侧束骨,BL65,,1,是
i631619446661705728,浮郄,BL38,,1,是
i631619446850449408,陆氏健膝穴,,,1,否
i631619447316017152,大脑感觉区及语言区,,,1,否
i631619460477743104,相应病变节段的棘突间隙,,,1,否
i631619448737886208,患侧上肢肩刻骨髃,,,1,否
i631619448754663424,健侧上肢取内关,,,1,否
i631619448767246336,患侧下肢血海,,,1,否
i631619448784023552,健侧下肢梁丘,,,1,否
i631619450725986304,居體,,,1,否
i631619451707453440,患侧臀中肌压痛点,,,1,否
i631619408824889344,五输穴,,,1,否
i631619411433746432,皮损区或色素沉着区,,,1,否
i631619412109029376,皮损相应区域,,,1,否
i631619414306844672,侧肩关节前凹陷处压痛点,,,1,否
i631619425979592704,颈~两侧夹脊,EX-B2,jiaji,1,是
i631619427128832000,肩三穴,,,1,否
i631619467759054848,新肋头,,,1,否
i631619467775832064,里期门,,,1,否
i631619467796803584,始素,,,1,否
i631619469520662528,曲池双侧,,,1,否
i631619495886057472,附阳,,,1,否
i631619497349869568,头针额旁III线,,,1,否
i631619498050318336,舞蹈震颤区,,,1,否
i631619500118110208,L—L华佗夹脊,EX-B2,jiaji,1,是
i631619514378743808,瞳子髎透太阳,,,1,否
i631619518694682624,4～5 掌缝,,,1,否
i631619518719848448,足 4～5 跖趾缝隙,,,1,否
i631619518883426304,中指掌指关节缝隙处， 包括 2～3、3～4 掌缝足跖缝隙,,,1,否
i631619519013449728,靠近大拇 指端,,,1,否
i631619519860699136,外关穴与手太阳小肠经水平连线的中点,,,1,否
i631619505914638336,T-L华佗夹脊,EX-B2,jiaji,1,是
i631619506631864320,局部腧穴,,,1,否
i631619507412004864,背腰部督脉经,,,1,否
i631619474272808960,晕痛针,,,1,否
i631619476307046400,整体经络针刺,,,1,否
i631619477238181888,指外展经筋结点,,,1,否
i631619477275930624,伸腕伸指经筋结点,,,1,否
i631619486495010816,患侧眼肌在眼球上的附着点,,,1,否
i631619490215358464,面瘫奇穴,,,1,否
i631619492845187072,颈-胸双侧夹脊,EX-B2,jiaji,1,是
i631619549355044864,太溪与降压点,,,1,否
i631619551099875328,股外风穴,,,1,否
i631619557647183872,臀三角点,,,1,否
i631619559744335872,喉四针,,,1,否
i631619564597145600,合穴足三里,,,1,否
i631619567679959040,痉挛肌的拮抗肌对应经络,,,1,否
i631619568594317312,站立穴十七、十八椎棘突旁开 0. 5 寸,,,1,否
i631619568686592000,足屈穴外踝上2寸,,,1,否
i631619568837586944,筋健髌骨中点直上 4 寸,,,1,否
i631619569156354048,纠正点颧髎与颊车连线之中点,,,1,否
i631619569454149632,外廉泉,,,1,否
i631619569512869888,增音点喉结旁开 1寸,,,1,否
i631619569533841408,正舌点舌系带中央舌体中间点,,,1,否
i631619580355145728,颊承浆,,,1,否
i631619582259359744,指麻穴,,,1,否
i631619583219855360,臂月需,,,1,否
i631619588177522688,头皮针,,,1,否
i631619524373770240,上梨状穴,,,1,否
i631619524394741760,下梨状穴,,,1,否
i631619540089827328,开窍醒脑针,,,1,否
i631619543176835072,上廉泉与天容连线中点,,,1,否
i631619591625240576,足太阳膀胱经第一线,,,1,否
i631619591646212096,疱疹皮损部位旁开寸,,,1,否
i631619594628362240,胰穴,,,1,否
i631619596712931328,损伤的脊髓平面上下两个相连的椎体间隙,,,1,否
i631619596746485760,感觉平面上,,,1,否
i631619596809400320,左眼或右眼针划区区,,,1,否
i631619631378853888,相应夹脊穴,EX-B2,jiaji,1,是
i631619661934358528,阿是以痛为俞,Ashi,ashi,1,是
i631619661955330048,肩調,,,1,否
i631619649775071232,运动性失语取优势侧顶头穴线两处,,,1,否
i631619649804431360,颞前斜线运动区下/,,,1,否
i631619649825402880,优势侧颞前线,,,1,否
i631619649930260480,肩部经筋结点,,,1,否
i631619651951915008,颈四针,,,1,否
i631619651972886528,患侧耳门穴,TE21,,1,是
i631619615906066432,肱骨大,,,1,否
i631619615927037952,小结节骨突部压痛点,,,1,否
i631619615943815168,肱二头肌长,,,1,否
i631619615960592384,短头附着点压痛处,,,1,否
i631619615985758208,三角肌前后及三角肌粗隆处压痛点,,,1,否
i631619616002535424,斜方肌,,,1,否
i631619616019312640,冈下肌等处压痛,,,1,否
i631619620603686912,第～胸椎的夹脊,EX-B2,jiaji,1,是
i631619620620464128,第胸椎～第腰椎的夹脊,EX-B2,jiaji,1,是
i631619621417381888,攒 竹,,,1,否
i631619625972396032,齿龈,,,1,否
i631619626802868224,肓门,BL51,,1,是
i631619628161822720,自风府穴旁开至完骨穴,,,1,否
i631619628182794240,沿枕骨下缘分等分,,,1,否
i631619628199571456,每隔等分为穴,,,1,否
i631619629353005056,手足阳明经穴,,,1,否
i631619700547121152,配穴为：内关,,,1,否
i631619700853305344,上焦区穴,,,1,否
i631619709174804480,损伤脊髓部位上,,,1,否
i631619709195776000,下端脊髓,,,1,否
i631619712026931200,上清明,,,1,否
i631619713666904064,趾端至足跟后缘连线中点,,,1,否
i631619713687875584,趾端至足跟后缘连线中点平向外旁开 0. 8 寸,,,1,否
i631619716258983936,双侧的夹脊,EX-B2,jiaji,1,是
i631619716787466240,桡神经点,,,1,否
i631619716808437760,尺神经点,,,1,否
i631619716841992192,胫神经点,,,1,否
i631619716858769408,腓深神经点,,,1,否
i631619716875546624,腓浅神经点,,,1,否
i631619716896518144,股神经点,,,1,否
i631619718549073920,太冲患侧肩髃,,,1,否
i631619718570045440,解溪健侧三阴交,,,1,否
i631619722172952576,督脉穴,GV,,1,是
i631619736857210880,于患侧下颌角向外平胸锁乳突肌肌腹上,,,1,否
i631619726123986944,颌下,,,1,否
i631619729735282688,掌骨头间隙,,,1,否
i631619733111697408,在距损伤上下端个椎体的棘突间隙旁开距中线～cm处取穴,,,1,否
i631619667634417664,疣体边缘呈°～°角刺入疣体基底部,,,1,否
i631619669316333568,脸部,,,1,否
i631619682981376000,压痛点附近的腧穴,,,1,否
i631619683069456384,角孙和率谷连线的中点,,,1,否
i631619683086233600,风池和安眠连线的中点,,,1,否
i631619683107205120,外关水平旁开,,,1,否
i631619683128176640,三焦经和小肠经之间的中点,,,1,否
i631619683140759552,阳陵泉水平旁开,,,1,否
i631619683161731072,胆经和膀胱经之间的中点,,,1,否
i631619683342086144,平阴补阳针,,,1,否
i631619687528001536,配穴取内关,,,1,否
i631619695782391808,颈-横突,,,1,否
i631619696558338048,舌的后/,,,1,否
i631619696579309568,舌体两侧,,,1,否
i631621127931686912,上解溪,,,1,否
i631621129705877504,晴朗,,,1,否
i631621377245310976,单侧 肩外俞及肩中俞,,,1,否
i631621377438248960,双侧大椎,GV14,,1,是
i631621377471803392,双侧风门,BL12,,1,是
i631621377652158464,双侧膈俞,BL17,,1,是
i631621386074320896,腕短伸肌起点处,,,1,否
i631620671830487040,悬中穴,,,1,否
i631620887333826560,额旁Ⅳ线,,,1,否
i631620900243894272,结筋点,,,1,否
i631621143609995264,骨折椎骨节段上下之膀胱经第一条侧线穴位,,,1,否
i631621392193810432,神藏,KI25,,1,是
i631620675638915072,疼痛点,,,1,否
i631620676905594880,止吐穴,,,1,否
i631620687571709952,髌中,,,1,否
i631620912675811328,臀痛,,,1,否
i631621154842341376,交会,,,1,否
i631621424448008192,大脑左侧优势半球Ｂｒｏｃａ区,,,1,否
i631621457935331328,颌厌,,,1,否
i631620691711488000,患侧第三腰椎横突末端处的上下左右各旁开cm处,,,1,否
i631620699710025728,下巨墟,,,1,否
i631620703841415168,颅骨颞前﹑后线,,,1,否
i631620928140210176,偏瘫对侧头针运动区,,,1,否
i631620928169570304,偏瘫对侧头针感觉区,,,1,否
i631621171858632704,胃腧,,,1,否
i631621468463034368,颈部C－夹脊,EX-B2,jiaji,1,是
i631621470065258496,耳穴肩,Ear-Acupoint,auricular,1,是
i631621470136561664,耳穴膀胱,Ear-Acupoint,auricular,1,是
i631621470342082560,耳穴背脾,Ear-Acupoint,auricular,1,是
i631621470384025600,耳穴角窝中,Ear-Acupoint,auricular,1,是
i631620709952516096,解溪穴,ST41,,1,是
i631620710254505984,双侧下/顶颞后斜线,,,1,否
i631620710279671808,双侧枕下旁线,,,1,否
i631620712343269376,醒脑开窍针法,,,1,否
i631620715807764480,三阳络右,TE8,,1,是
i631620715828736000,疼痛穴右手三里向外寸的敏感点,,,1,否
i631620715853901824,子宫右耳,,,1,否
i631620715879067648,足三里右,ST36,,1,是
i631620943705272320,枕外隆凸外下方压痛处,,,1,否
i631620943730438144,上项线,,,1,否
i631620943835295744,在上项线外侧 与胸锁乳突肌后缘交界处的压痛点,,,1,否
i631620943944347648,枕外隆凸与乳 突连线中内 1/3 交界的压痛点,,,1,否
i631620944045010944,枕外隆起处,,,1,否
i631620944070176768,胸锁乳突肌中点压痛 处,,,1,否
i631621181400674304,第六颈椎棘突旁开寸经验穴,,,1,否
i631621187096539136,百老,,,1,否
i631621188426133504,气门,,,1,否
i631621188757483520,大脑皮层投射区,,,1,否
i631621508833210368,C～T夹脊,EX-B2,jiaji,1,是
i631621519386079232,臂内前缘三角肌和肱二头肌交界处,,,1,否
i631621519771955200,肘内侧,,,1,否
i631621520111693824,肘尖与腋窝连线中点,,,1,否
i631621520489181184,肱骨内上髁与尺骨腕部之间中点,,,1,否
i631621520652759040,尺侧缘,,,1,否
i631621520749228032,胫骨外侧缘处,,,1,否
i631620722736754688,内踝穴,,,1,否
i631620722766114816,外踝穴,,,1,否
i631620723269431296,感觉区下/,,,1,否
i631620730085175296,感觉区上/,,,1,否
i631620733579030528,经验穴患者肘尖与肩峰连线上约寸间寻找最痛点,,,1,否
i631620950508433408,C-T夹脊,EX-B2,jiaji,1,是
i631620960906113024,新明,,,1,否
i631621197200617472,顶颞前斜线足运动感区,,,1,否
i631621209427013632,减肥组穴,,,1,否
i631620502435131392,背腧穴,,,1,否
i631620502502240256,相邻穴,,,1,否
i631620510446252032,委下三寸,,,1,否
i631620510467223552,委上三寸,,,1,否
i631620743305621504,乳突,,,1,否
i631620745398579200,发旋,,,1,否
